,bear,timestamp
0,Polar Bear,2019-05-21 14:04:52
1,Giant Panda,2019-05-21 15:26:29
2,Grizzly,2019-05-21 17:38:27
3,Black Bear,2019-05-21 14:32:54
4,Black Bear,2019-05-21 14:18:27
5,Grizzly,2019-05-21 14:52:08
6,Grizzly,2019-05-21 14:46:20
7,Black Bear,2019-05-21 15:13:43
8,Black Bear,2019-05-21 17:32:57
9,Grizzly,2019-05-21 18:31:09
10,Polar Bear,2019-05-21 14:51:15
11,Black Bear,2019-05-21 15:38:12
12,Black Bear,2019-05-21 14:42:52
13,Black Bear,2019-05-21 15:06:14
14,Black Bear,2019-05-21 15:51:55
15,Grizzly,2019-05-21 17:31:03
16,Grizzly,2019-05-21 15:37:22
17,Polar Bear,2019-05-21 14:59:06
18,Polar Bear,2019-05-21 18:41:21
19,Polar Bear,2019-05-21 15:49:06
20,Black Bear,2019-05-21 15:15:08
21,Black Bear,2019-05-21 17:56:03
22,Black Bear,2019-05-21 18:45:04
23,Black Bear,2019-05-21 18:19:45
24,Giant Panda,2019-05-21 14:30:22
25,Grizzly,2019-05-21 14:22:11
26,Black Bear,2019-05-21 15:46:34
27,Grizzly,2019-05-21 14:51:58
28,Black Bear,2019-05-21 15:55:42
29,Black Bear,2019-05-21 17:25:01
30,Giant Panda,2019-05-21 18:42:51
31,Polar Bear,2019-05-21 18:43:01
32,Black Bear,2019-05-21 17:36:45
33,Black Bear,2019-05-21 17:50:43
34,Polar Bear,2019-05-21 18:56:49
35,Black Bear,2019-05-21 14:14:14
36,Black Bear,2019-05-21 14:20:55
37,Black Bear,2019-05-21 14:47:50
38,Black Bear,2019-05-21 18:03:28
39,Black Bear,2019-05-21 14:01:31
40,Black Bear,2019-05-21 17:06:33
41,Grizzly,2019-05-21 14:22:45
42,Black Bear,2019-05-21 14:40:02
43,Polar Bear,2019-05-21 14:45:28
44,Grizzly,2019-05-21 14:48:09
45,Black Bear,2019-05-21 17:05:42
46,Polar Bear,2019-05-21 14:52:22
47,Black Bear,2019-05-21 15:02:00
48,Black Bear,2019-05-21 18:03:35
49,Grizzly,2019-05-21 18:00:24
50,Polar Bear,2019-05-21 14:28:45
51,Polar Bear,2019-05-21 15:11:23
52,Polar Bear,2019-05-21 14:28:34
53,Black Bear,2019-05-21 17:37:11
54,Black Bear,2019-05-21 14:00:39
55,Black Bear,2019-05-21 18:09:39
56,Polar Bear,2019-05-21 14:17:30
57,Giant Panda,2019-05-21 18:48:10
58,Black Bear,2019-05-21 14:15:08
59,Grizzly,2019-05-21 14:13:04
60,Polar Bear,2019-05-21 15:14:06
61,Black Bear,2019-05-21 17:53:35
62,Black Bear,2019-05-21 18:05:27
63,Grizzly,2019-05-21 14:52:32
64,Black Bear,2019-05-21 15:55:15
65,Grizzly,2019-05-21 14:24:03
