,bear,timestamp
0,Black Bear,2019-05-21 14:50:44
1,Polar Bear,2019-05-21 15:29:22
2,Black Bear,2019-05-21 18:58:08
3,Black Bear,2019-05-21 17:32:31
4,Giant Panda,2019-05-21 18:01:38
5,Black Bear,2019-05-21 15:07:04
6,Grizzly,2019-05-21 15:11:00
7,Grizzly,2019-05-21 14:34:22
8,Polar Bear,2019-05-21 14:33:59
9,Black Bear,2019-05-21 15:48:48
10,Grizzly,2019-05-21 18:18:09
11,Grizzly,2019-05-21 18:26:52
12,Polar Bear,2019-05-21 17:01:18
13,Polar Bear,2019-05-21 14:58:23
14,Polar Bear,2019-05-21 14:09:21
15,Grizzly,2019-05-21 18:25:00
16,Black Bear,2019-05-21 14:23:10
17,Polar Bear,2019-05-21 18:49:52
18,Grizzly,2019-05-21 15:40:24
19,Black Bear,2019-05-21 15:38:05
20,Grizzly,2019-05-21 18:56:09
21,Black Bear,2019-05-21 17:52:48
22,Polar Bear,2019-05-21 15:00:26
23,Black Bear,2019-05-21 14:04:45
24,Black Bear,2019-05-21 17:59:59
25,Grizzly,2019-05-21 14:10:03
26,Black Bear,2019-05-21 18:26:26
27,Black Bear,2019-05-21 15:02:34
28,Grizzly,2019-05-21 14:09:47
29,Black Bear,2019-05-21 14:36:39
30,Grizzly,2019-05-21 17:01:09
31,Black Bear,2019-05-21 14:34:42
32,Black Bear,2019-05-21 17:30:16
33,Black Bear,2019-05-21 18:30:25
34,Grizzly,2019-05-21 18:36:58
35,Black Bear,2019-05-21 17:02:23
36,Grizzly,2019-05-21 18:28:15
37,Polar Bear,2019-05-21 15:21:21
38,Polar Bear,2019-05-21 18:04:07
39,Giant Panda,2019-05-21 14:10:54
40,Black Bear,2019-05-21 18:35:11
41,Grizzly,2019-05-21 14:07:26
42,Polar Bear,2019-05-21 15:31:52
43,Black Bear,2019-05-21 15:31:04
44,Giant Panda,2019-05-21 14:09:33
45,Grizzly,2019-05-21 14:41:25
46,Black Bear,2019-05-21 18:29:48
47,Polar Bear,2019-05-21 18:59:32
48,Grizzly,2019-05-21 18:13:01
49,Black Bear,2019-05-21 18:10:05
50,Black Bear,2019-05-21 17:26:08
51,Black Bear,2019-05-21 14:46:26
52,Black Bear,2019-05-21 14:41:41
53,Black Bear,2019-05-21 14:37:04
54,Black Bear,2019-05-21 18:45:56
55,Grizzly,2019-05-21 18:33:14
56,Polar Bear,2019-05-21 15:13:57
57,Black Bear,2019-05-21 14:05:16
58,Black Bear,2019-05-21 17:58:07
59,Polar Bear,2019-05-21 18:31:17
60,Black Bear,2019-05-21 14:09:49
61,Grizzly,2019-05-21 14:46:34
62,Black Bear,2019-05-21 14:45:47
63,Black Bear,2019-05-21 14:25:43
64,Polar Bear,2019-05-21 14:32:34
65,Grizzly,2019-05-21 17:52:22
66,Grizzly,2019-05-21 18:20:11
67,Giant Panda,2019-05-21 17:42:49
68,Black Bear,2019-05-21 18:47:39
69,Black Bear,2019-05-21 18:36:24
70,Black Bear,2019-05-21 17:31:20
71,Black Bear,2019-05-21 18:28:20
72,Black Bear,2019-05-21 18:47:14
73,Black Bear,2019-05-21 15:49:29
74,Black Bear,2019-05-21 14:10:50
75,Polar Bear,2019-05-21 14:53:42
76,Black Bear,2019-05-21 17:29:20
77,Black Bear,2019-05-21 18:26:59
78,Polar Bear,2019-05-21 15:12:55
79,Black Bear,2019-05-21 14:13:31
80,Black Bear,2019-05-21 14:28:01
81,Black Bear,2019-05-21 14:02:40
82,Grizzly,2019-05-21 15:55:38
83,Black Bear,2019-05-21 14:45:07
84,Polar Bear,2019-05-21 14:27:38
85,Black Bear,2019-05-21 14:14:21
86,Polar Bear,2019-05-21 17:52:31
87,Black Bear,2019-05-21 14:15:16
88,Grizzly,2019-05-21 14:34:22
89,Grizzly,2019-05-21 14:34:51
90,Grizzly,2019-05-21 14:06:00
91,Polar Bear,2019-05-21 14:27:42
92,Black Bear,2019-05-21 15:34:13
93,Grizzly,2019-05-21 18:37:13
94,Black Bear,2019-05-21 14:49:45
