,bear,timestamp
0,Black Bear,2019-05-21 18:30:32
1,Black Bear,2019-05-21 17:26:15
2,Black Bear,2019-05-21 15:01:11
3,Black Bear,2019-05-21 14:33:26
4,Grizzly,2019-05-21 14:21:15
5,Black Bear,2019-05-21 14:13:57
6,Giant Panda,2019-05-21 18:16:58
7,Black Bear,2019-05-21 14:22:52
8,Grizzly,2019-05-21 14:39:40
9,Black Bear,2019-05-21 18:47:26
10,Black Bear,2019-05-21 14:38:09
11,Black Bear,2019-05-21 17:48:04
12,Polar Bear,2019-05-21 15:33:25
13,Black Bear,2019-05-21 15:05:03
14,Black Bear,2019-05-21 17:55:55
15,Grizzly,2019-05-21 18:24:30
16,Polar Bear,2019-05-21 17:58:58
17,Black Bear,2019-05-21 14:56:09
18,Black Bear,2019-05-21 14:26:13
19,Black Bear,2019-05-21 17:59:01
20,Grizzly,2019-05-21 18:02:09
21,Grizzly,2019-05-21 17:24:44
22,Black Bear,2019-05-21 17:24:28
23,Grizzly,2019-05-21 14:01:47
24,Black Bear,2019-05-21 14:34:58
25,Giant Panda,2019-05-21 15:01:26
26,Polar Bear,2019-05-21 15:08:59
27,Grizzly,2019-05-21 14:10:11
28,Black Bear,2019-05-21 15:11:42
29,Polar Bear,2019-05-21 14:08:50
30,Grizzly,2019-05-21 17:15:50
31,Grizzly,2019-05-21 17:34:36
32,Black Bear,2019-05-21 17:28:22
33,Black Bear,2019-05-21 17:53:52
34,Polar Bear,2019-05-21 14:06:05
35,Giant Panda,2019-05-21 14:10:41
36,Grizzly,2019-05-21 15:50:03
37,Polar Bear,2019-05-21 14:06:22
38,Grizzly,2019-05-21 17:24:44
39,Grizzly,2019-05-21 17:59:41
40,Black Bear,2019-05-21 14:22:13
41,Black Bear,2019-05-21 14:06:50
42,Black Bear,2019-05-21 17:16:42
43,Grizzly,2019-05-21 14:41:11
44,Polar Bear,2019-05-21 15:43:56
45,Black Bear,2019-05-21 14:52:13
46,Black Bear,2019-05-21 14:38:56
47,Grizzly,2019-05-21 18:53:54
48,Black Bear,2019-05-21 14:31:38
49,Grizzly,2019-05-21 18:55:33
50,Grizzly,2019-05-21 18:40:17
51,Black Bear,2019-05-21 15:16:10
52,Grizzly,2019-05-21 14:23:13
53,Black Bear,2019-05-21 15:17:52
54,Black Bear,2019-05-21 18:14:57
55,Black Bear,2019-05-21 14:07:38
56,Polar Bear,2019-05-21 15:56:56
57,Polar Bear,2019-05-21 17:42:00
58,Grizzly,2019-05-21 18:12:48
59,Black Bear,2019-05-21 18:48:50
